,date,away_team,away_odds_ml,home_team,home_odds_ml,year,exp_win_away,exp_win_home,exp_value_away,exp_value_home,result,bet,return,expected_return,prediction_correct,exp_win_away_recent,exp_win_home_recent,exp_value_away_recent,exp_value_home_recent,bet_recent,return_recent,expected_return_recent,exp_win_away_nn,exp_win_home_nn,exp_value_away_nn,exp_value_home_nn,bet_nn,return_nn,expected_return_nn,game_time,N,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread
114,01-26-2022,Boston University,-195,Lafayette,165,2021-22,0.7473635573955862,0.25224315233897404,0.1306,-0.3316,1,13.06,6.6974,1.7056,1.0,,,,,,,,,,,,,,,,,,,,
115,01-26-2022,Maine,600,New Hampshire,-900,2021-22,0.016218019872795177,0.9833258305302904,-0.8865,0.0926,2,9.26,1.0289,0.8575,1.0,,,,,,,,,,,,,,,,,,,,
116,01-27-2022,Wisconsin,-360,Nebraska,300,2021-22,0.8508790657932017,0.15127891619983708,0.0872,-0.3949,1,8.72,2.4222,0.7604,1.0,,,,,,,,,,,,,,,,,,,,
117,01-27-2022,Arkansas State,145,Appalachian State,-165,2021-22,0.0,0.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
118,01-27-2022,Middle Tennessee,120,Marshall,-140,2021-22,0.5356698456911454,0.4670027464564326,0.1785,-0.1994,1,17.85,21.42,3.1862,1.0,,,,,,,,,,,,,,,,,,,,
119,01-27-2022,UIC,220,Detroit Mercy,-260,2021-22,0.18109292693103235,0.8189587453095419,-0.4205,0.1339,2,13.39,5.15,1.7929,1.0,,,,,,,,,,,,,,,,,,,,
120,01-27-2022,Northeastern,155,UNC Wilmington,-175,2021-22,0.5458033475789226,0.4566427540392174,0.3918,-0.2824,2,39.18,-39.18,15.3507,0.0,,,,,,,,,,,,,,,,,,,,
121,01-27-2022,Delaware,180,Towson,-210,2021-22,0.1643608313109226,0.8373009437122059,-0.5398,0.236,0,23.6,-23.6,5.5696,0.0,,,,,,,,,,,,,,,,,,,,
122,01-27-2022,William & Mary,270,Elon,-330,2021-22,0.23928534537030785,0.7569199238146551,-0.1146,-0.0137,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
123,01-27-2022,Green Bay,240,Youngstown State,-280,2021-22,0.1216097600752328,0.8775339346985712,-0.5865,0.1909,2,19.09,6.8179,3.6443,1.0,,,,,,,,,,,,,,,,,,,,
124,01-27-2022,Hofstra,-145,Charleston,125,2021-22,0.5193865239058696,0.4918010085229309,-0.1224,0.1066,1,10.66,-10.66,1.1364,1.0,,,,,,,,,,,,,,,,,,,,
125,01-27-2022,Drexel,-150,James Madison,130,2021-22,0.22555453193472624,0.7792720967757581,-0.6241,0.7923,1,79.23,-79.23,62.7739,0.0,,,,,,,,,,,,,,,,,,,,
126,01-27-2022,Arkansas-Little Rock,450,Coastal Carolina,-600,2021-22,0.0,0.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
